언론사,날짜_원문,제목,URL,구분
미디어오늘,2일 전,카카오톡 개편에 네이트온 뜬다?,https://www.mediatoday.co.kr/news/articleView.html?idxno=329239,대표 기사
한국경제,2일 전,"""13조 잭팟 네이버 살 걸…"" 카카오 추락에 개미들 '분노' [진영기의 찐...",https://www.hankyung.com/article/2025100235116,대표 기사
이데일리,4일 전,친구탭 되살리는 카카오톡…인스타 반발과 똑 닮았다,http://www.edaily.co.kr/news/newspath.asp?newsid=01462886642329312,대표 기사
국민일보,2일 전,카카오·네이버 이끈 ‘4050 워킹맘’… 혁신 노렸지만 엇갈린 희비,https://www.kmib.co.kr/article/view.asp?arcid=0028788487&code=61141111&cp=nv,대표 기사
바이라인네트워크,1시간 전,카카오는 왜 ‘피드’를 포기하고 ‘숏폼’을 선택했나,https://byline.network/?p=9004111222580107,대표 기사
한국경제,5일 전,"비판 여론 시달리던 카카오, 외면받던 '제2 카톡' 꺼내들었다",https://www.hankyung.com/article/202510022576g,대표 기사
매일경제,6일 전,“카카오톡 문제 왜 토스 탓”···이승건 대표 페이스북에 심경 토로,https://www.mk.co.kr/article/11434205,대표 기사
Sub-article,"아시아경제
6일 전
네이버뉴스","'카톡 업뎃' 갈등에 기름 붓나…토스 대표 ""우리 문화 아닌데?"" 저격 추...",https://view.asiae.co.kr/article/2025100116073460042,Sub 기사
Sub-article,"조선일보
6일 전
네이버뉴스","[단독] 토스 이승건 대표, 페북에 카카오 직원들 겨냥한 듯한 글 올려",https://www.chosun.com/economy/tech_it/2025/10/01/RFLKPBZLAFFUZD6OJCR5EWDG3Q/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,Sub 기사
Sub-article,"아이뉴스24
6일 전
네이버뉴스","이승건 토스 대표, 카카오 내부 겨냥?⋯""회사에 피해 있어도 비난·조롱...",http://www.inews24.com/view/1893077,Sub 기사
뉴스1,1주 전,"카카오톡 개편 논란에 홍민택 CPO 해명…""이용자 불편 최소화""",https://www.news1.kr/it-science/general-it/5930703,대표 기사
Sub-article,"이데일리
1주 전
네이버뉴스",‘국민 메신저 맞나’…개편에 흔들린 카카오톡,http://www.edaily.co.kr/news/newspath.asp?newsid=04470646642305368,Sub 기사
Sub-article,"매일경제
1주 전
네이버뉴스",카톡 개편 ‘폭망’ 누가 책임지나…경영진 독주에 내부 폭로까지,https://www.mk.co.kr/article/11432769,Sub 기사
Sub-article,"한국경제
1주 전
네이버뉴스","카톡 개편 원상 복귀, 홍민택 CPO ""불편 최소화 우선""",https://www.hankyung.com/article/2025093081167,Sub 기사
Sub-article,"중앙일보
1주 전
네이버뉴스","카카오 홍민택 CPO, 앱 개편 논란에 사내 해명 [팩플]",https://www.joongang.co.kr/article/25371295,Sub 기사
JTBC,1주 전,네이트온 활짝 웃었다...카카오톡 개편 불만에 반사이익,https://news.jtbc.co.kr/article/NB12265165?influxDiv=NAVER,대표 기사
Sub-article,"머니투데이
1주 전
네이버뉴스","개편 '혹평' 카카오톡, 메신저 왕좌 흔들리나…먹통 사태 때 보니",https://www.mt.co.kr/tech/2025/09/30/2025093014380485643,Sub 기사
Sub-article,"서울신문
1주 전
네이버뉴스",카카오톡에 실망한 이용자들…“갈아탈래” 대신 ‘여기’ 모였다,https://www.seoul.co.kr/news/economy/IT/2025/09/30/20250930500115?wlog_tag3=naver,Sub 기사
Sub-article,"뉴스1
1주 전
네이버뉴스",카톡 개편에 라인·네이트온 '활짝'…신규 설치 건수 38배 폭증,https://www.news1.kr/it-science/general-it/5929767,Sub 기사
Sub-article,"데일리안
1주 전
네이버뉴스",카카오톡 업데이트 혹평에...'OOOO' 앱스토어 1위?,https://www.dailian.co.kr/news/view/1555569/?sc=Naver,Sub 기사
연합뉴스,1주 전,"카톡 대개편 후 '1점 리뷰' 폭주…""정체성이 사라졌다""",https://www.yna.co.kr/view/AKR20250926115300017?input=1195m,대표 기사
Sub-article,"한국일보
1주 전
네이버뉴스","카카오톡 개편 후 이용자 '1점 리뷰' 폭탄 ""이전으로 돌려달라""",https://www.hankookilbo.com/News/Read/A2025092813430005638?did=NA,Sub 기사
Sub-article,"노컷뉴스
1주 전
네이버뉴스","카카오톡 대규모 개편 놓고 이용자 혹평 '봇물'…""이전으로 돌려달라""",https://www.nocutnews.co.kr/news/6407045?utm_source=naver&utm_medium=article&utm_campaign=20250928110341,Sub 기사
Sub-article,"이데일리
1주 전
네이버뉴스","""제발 정신차려""...카카오톡 업데이트에 '국민 대통합'",http://www.edaily.co.kr/news/newspath.asp?newsid=01620326642304712,Sub 기사
Sub-article,"아이뉴스24
1주 전
네이버뉴스","카카오톡 개편 후 이용자 불만 폭주⋯""예전 버전 돌려놔라""",http://www.inews24.com/view/1891671,Sub 기사
더팩트,6일 전,카카오톡 '국민 메신저' 위상 휘청…개편 실패 책임론 급부상,https://news.tf.co.kr/read/economy/2249675.htm,대표 기사
헤럴드경제,1주 전,카카오톡 첫 화면 ‘친구목록’으로 돌아간다,https://biz.heraldcorp.com/article/10586004?ref=naver,대표 기사
Sub-article,"여성신문
1주 전
네이버뉴스",이용자 혹평에…카카오톡 ‘친구목록’ 원상복구,https://www.womennews.co.kr/news/articleView.html?idxno=267963,Sub 기사
Sub-article,"전자신문
1주 전
네이버뉴스","카카오, 결국 친구탭 개편…'친구목록' 첫 화면으로 되살린다",https://www.etnews.com/20250929000429,Sub 기사
Sub-article,"조세일보
1주 전
네이버뉴스",카톡 ‘친구목록’ 되살린다...카카오 결국 항복,http://www.joseilbo.com/news/news_read.php?uid=553836&class=33&grp=,Sub 기사
Sub-article,"서울신문
1주 전
네이버뉴스",카카오톡 결국 ‘친구목록’ 되살린다…‘피드형’은 자리이동,https://www.seoul.co.kr/news/economy/IT/2025/09/29/20250929500277?wlog_tag3=naver,Sub 기사
서울경제,5일 전,카카오톡 '친구 탭' 원복에도…개편 후 '1점 리뷰' 폭주,https://www.sedaily.com/NewsView/2GZ0RQ6EUP,대표 기사
더팩트,1주 전,카카오톡 개편에 이용자 '불만 폭주'…개선안 어떻게 나올까,https://news.tf.co.kr/read/economy/2248530.htm,대표 기사
Sub-article,"TV조선
1주 전
네이버뉴스","'불만 폭주' 카카오톡, 개편 엿새 만에 '백기'…친구목록으로 첫화면 원...",https://news.tvchosun.com/site/data/html_dir/2025/09/29/2025092990305.html,Sub 기사
Sub-article,"MBN
1주 전
네이버뉴스","불만 폭주에 백기 든 카카오톡…친구탭, 다시 친구목록으로",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=5144471,Sub 기사
Sub-article,"머니투데이
1주 전
네이버뉴스","""윗선 강행"" 카카오 내부 잡음까지…'톡' 건드리자 '툭' 터졌다",https://www.mt.co.kr/tech/2025/09/29/2025092818131889610,Sub 기사
Sub-article,"연합뉴스
1주 전
네이버뉴스",백기 든 카카오톡…친구탭 원상복구한다(종합),https://www.yna.co.kr/view/AKR20250929129751017?input=1195m,Sub 기사
KBS,1주 전,"‘카톡 개악’ 불만 속출에 결국…카카오톡, 친구목록 복원한다",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8370285&ref=A,대표 기사
Sub-article,"서울경제
1주 전
네이버뉴스",혹평에 백기 든 카카오…연내 '친구탭' 되돌린다,https://www.sedaily.com/NewsView/2GY39T32C2,Sub 기사
Sub-article,"파이낸셜뉴스
1주 전
네이버뉴스","'부장님 사진' 보이던 카카오, '친구목록' 되돌린다(종합)",http://www.fnnews.com/news/202509291634189719,Sub 기사
Sub-article,"동아일보
1주 전
네이버뉴스",카카오톡 ‘친구탭’ 원상복구…이용자 혹평에 결국 백기,https://www.donga.com/news/It/article/all/20250929/132487994/1,Sub 기사
국민일보,15면 TOP,6일 만에 손 든 카카오톡… 기존 친구목록 되살린다,https://www.kmib.co.kr/article/view.asp?arcid=1759132987&code=11151100&cp=nv,대표 기사
Sub-article,"매일경제
1주 전
네이버뉴스",쉰스타그램 역풍에 카카오 백기투항…무한숏폼도 손본다,https://www.mk.co.kr/article/11432305,Sub 기사
Sub-article,"조선일보
1주 전
네이버뉴스","카카오톡, 백기 들었다… 기존 ‘친구 목록’ 방식으로 되돌려",https://www.chosun.com/economy/tech_it/2025/09/29/YBVXX64O2ZAUFFLBJQJYXE5ZWA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,Sub 기사
Sub-article,"매일경제
1주 전
네이버뉴스",결국 백기 든 카카오,https://www.mk.co.kr/article/11432285,Sub 기사
Sub-article,"경향신문
1주 전
네이버뉴스",결국 백기 든 카카오톡…‘친구 목록’ 되살린다,https://www.khan.co.kr/article/202509291644001,Sub 기사
시사저널,1주 전,"카카오톡, 피드형 친구탭 수정…친구목록 복원",https://www.sisajournal.com/news/articleView.html?idxno=348142,대표 기사
Sub-article,"부산일보
1주 전
네이버뉴스",카카오톡 ‘친구목록’ 이전 방식 복원한다… 4분기 적용,https://www.busan.com/view/busan/view.php?code=2025092916333939591,Sub 기사
Sub-article,"JTBC
1주 전
네이버뉴스","카톡, 대규모 개편 혹평에…'친구목록' 복원 업데이트 예정",https://news.jtbc.co.kr/article/NB12264936?influxDiv=NAVER,Sub 기사
노컷뉴스,1주 전,불만 폭주에 카카오톡 결국 '백기' 들었다…친구목록 부활,https://www.nocutnews.co.kr/news/6407708?utm_source=naver&utm_medium=article&utm_campaign=20250929045157,대표 기사
Sub-article,"아이뉴스24
1주 전
네이버뉴스",15년만에 개편 후폭풍...이용자 쓴소리에 카카오톡 친구 탭 개선 검토,http://www.inews24.com/view/1891867,Sub 기사
Sub-article,"비즈워치
1주 전
네이버뉴스",카카오톡 친구탭 원상복구,http://news.bizwatch.co.kr/article/mobile/2025/09/29/0041,Sub 기사
Sub-article,"조선비즈
1주 전
네이버뉴스","카카오, 카카오톡 친구탭 원상 복구... 4분기 중 적용",https://biz.chosun.com/it-science/ict/2025/09/29/FYVBVOQFJVFDJOVE5LQXANNG7A/?utm_source=naver&utm_medium=original&utm_campaign=biz,Sub 기사
조선비즈,1주 전,"유세윤, 카카오톡 개편에 “난 솔직히 재밌다”",https://biz.chosun.com/entertainment/enter_general/2025/09/30/A5KZ4PSMWBBEVKMBR424V52B2Y/?utm_source=naver&utm_medium=original&utm_campaign=biz,대표 기사
중앙일보,1주 전,결국 백기 든 카카오톡…첫 화면 '친구 목록' 되살린다 [팩플],https://www.joongang.co.kr/article/25370905,대표 기사
Sub-article,"한겨레
1주 전
네이버뉴스","카톡 첫 화면, 개편 전 ‘친구목록’으로 되돌린다…연내 적용",https://www.hani.co.kr/arti/economy/it/1221349.html,Sub 기사
노컷뉴스,2일 전,"카톡 개편 혹평에 책임론↑…그래도 정면돌파, 왜?",https://www.nocutnews.co.kr/news/6409828?utm_source=naver&utm_medium=article&utm_campaign=20251005050109,대표 기사
YTN,1주 전,"카카오톡, 숏폼탭 설정 개선...'혹평' 격자형 피드는?",https://www.ytn.co.kr/_ln/0102_202509290823120254,대표 기사
Sub-article,"YTN
1주 전
네이버뉴스",'업데이트 혹평' 카카오톡...이번 주 일부 개선 방향 발표,https://www.ytn.co.kr/_ln/0102_202509290917455452,Sub 기사
미디어오늘,1주 전,카카오톡 개편에 비판 쇄도…언론도 '불만 폭주' 지적,https://www.mediatoday.co.kr/news/articleView.html?idxno=329115,대표 기사
한국경제TV,5일 전,"카카오처럼 될라...인스타 개편 후 ""옛 설정 가능""",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202510020475&t=NN,대표 기사
Sub-article,"서울신문
5일 전
네이버뉴스","카카오톡 후폭풍에 ‘화들짝’…인스타, ‘릴스’ 중심 개편하며 “언제...",https://www.seoul.co.kr/news/economy/industry/2025/10/02/20251002500272?wlog_tag3=naver,Sub 기사
한국일보,18면 1단,"'최악 개편' 비판에 백기 든 카카오톡, 정신아 대표의 답은? [배계규 화...",https://www.hankookilbo.com/News/Read/A2025100309310003724?did=NA,대표 기사
한겨레,1주 전,"“아! 안 돼, 제발” 연예인들도 카톡 개편에 반발 …‘1점 리뷰’ 폭주",https://www.hani.co.kr/arti/society/society_general/1221145.html,대표 기사
파이낸셜뉴스,6일 전,카톡 개편 후 쏟아지는 비난에 입 연 홍민택 “이용자 불편 최소화”,http://www.fnnews.com/news/202509302036179779,대표 기사
연합뉴스,1주 전,"카카오톡 대개편 후 ""업데이트 껐다"" 불만 속출",https://www.yna.co.kr/view/AKR20250924061400017?input=1195m,대표 기사
연합뉴스,4일 전,[율곡로] 희비 엇갈리는 네이버와 카카오,https://www.yna.co.kr/view/AKR20251002145600546?input=1195m,대표 기사
파이낸셜뉴스,4일 전,"""카카오톡은 프리챌을 기억하라""... 민심 거슬렀다가 몰락 한 서비스들...",http://www.fnnews.com/news/202509301523106626,대표 기사
동아일보,B1면 1단,카톡 개편 혹평 쏟아지자 “친구-숏폼탭 개선”,https://www.donga.com/news/Economy/article/all/20250928/132481221/2,대표 기사
Sub-article,"서울경제
1주 전
네이버뉴스","""1점 테러 폭주""…카톡 최악 업데이트 논란에 카카오, 결국 '친구탭' 손...",https://www.sedaily.com/NewsView/2GY39C76OJ,Sub 기사
TV조선,1주 전,"""카카오톡 왜 이래""…유튜브도 '들썩'",https://news.tvchosun.com/site/data/html_dir/2025/09/27/2025092790097.html,대표 기사
Sub-article,"이코노미스트
1주 전
네이버뉴스","""카카오톡 이상해요""...추억의 버디버디까지 소환",https://economist.co.kr/article/view/ecn202509270022,Sub 기사
